Идентификатор	Тип	Описание
abon_id	int	Идентификатор абонента для связывания с GL
abon_name	string	Имя абонента для свзязывания с GL
abon_phone_id	int	Идентификатор телефона привязанного к абоненту GL в биллинге GL на случай если этих телефонов несколько
abon_pass	string	пароль абонента от Личного кабинета
access_time_left	int	количество секунд, сколько еще можно смотреть контент, 0 - не актуально
access_token	string	SHA1 хеш для проверки авторизации по системе OAuth2
actor_birthday	datetime	Дата рождения актера
actor_id	int	идентификатор актера (см ER диаграмму индекса)
actor_is_favourite	bool	является ли актер любимым для этого пользователя?
actor_name	string	Имя актера (Киану Ривз)
actor_orig_name	string	Оригинальное имя (Keanu Reeves)
actor_photo_url	string	url к фотографии актера
actor_role_name	string	Имя играемого персонажа (Нео)
actor_role_type	enum(Actor,Director,...)	Типы ролей (Актер, Режиссер и т.д.)
age_rating	string	Возрастной рейтинг РФ
apartment_n	string	Номер квартиры для присоединения абонента GL
billing_balance	int	Текущий баланс пользователя в копейках
billing_monthly_payment	int	Ежемесячный платеж пользователя в копейках
bubbles_count	int	Количество новых серий (показывается в шарике над ЕК)
building_n	string	Номер дома для присоединения абонента GL
bundle_name	string	Название пакета
city_id	int	Идентификатор города для присоединения абонента GL
city_name	string	Название города для присоединения абонента GL
content_tags	string	теги для отображения на устройстве приема (метаинформация)
content_url	string	URL к медиа-файлу для воспроизведения
cube_name	string	Название куба на английском языке маленькими буквами (billing/ident/index... etc)
current_page	int	Текущая запрошенная страница пагинации
dev_access_token	string	Ouath токен доступа к методам API для устройств резолвится на сервере в dev_id
dev_current_second	int	Текущая позиция в файле
dev_id	string	идентификатор приставки на сервере идентификации
dev_length_second	int	Длина текущего видео в секундах
dev_model	string	Модель устройства воспроизведения (nv101, nv500 и т.д.)
dev_name	string	Название устройства которое дает пользователь (Телевизор в гостинной, Приставка на работе)
dev_refresh_token	string	OAuth токен доступа для обновления dev_access_token
dev_type	enum(STB,SMARTTV,PC)	Тип устройства
EK_description	string	Описание ЕК
EK_id	int	Идентификатор сущности "Единица Контента" см ER схему индекса
EK_title	string	Название ЕК из Индекса
EK_title_orig	string	Оригинальное название ЕК
EK_type	enum(Film,TVShow,SFilm,Chan)	Тип ЕК из ER диаграммы куба индекса
EP_id	int	Идентификатор сущности "Единица Просмотра (Episode)" см ER схему индекса
EP_id_select	int	идентификатор эпизода который нужно выбрать при открытии (следующий эпизод для просмотра)
EP_id_t	int	Идентификатор сущности "Единица Просмотра (Episode)" см ER схему индекса (трейлер)
EP_orig_title	string	Оригинальное название эпизода
EP_title	string	Название эпизода
file_name	string	Имя файла с расширением
genre	string	Значение жанра из таблицы Индекса Genre
GL_is_subscribed	bool	Подписан ли этот абонент GL на пакет?
GL_pack_chan_count	int	Количество каналов в пакете в базе GL
GL_pack_id	int	Идентификатор в базе GL пакета с пакетами
GL_pack_name	string	Название пакета в базе GL
